V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,MTurkCode,Q6,Q33,Q0,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q10_15,Q10_16,Q10_17,Q11,Q12,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_14,Q14_15,Q14_16,Q14_17,Q35,Q24,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_6_TEXT,Q28_7,Q28_8,Q29,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,MTurkCode,This study involves watching videos of virtual characters speak and making judgments about the ch...,Please play and watch the video and then respond to the attached questions about the character.  ,  1. Please describe how does the instructor feel?   , , ,2. Please rate the personality of the virtual instructor -Helpful,2. Please rate the personality of the virtual instructor -Useful,2. Please rate the personality of the virtual instructor -Competent,2. Please rate the personality of the virtual instructor -Knowledgeable,2. Please rate the personality of the virtual instructor -Analytical,2. Please rate the personality of the virtual instructor -Informative,2. Please rate the personality of the virtual instructor -Friendly,2. Please rate the personality of the virtual instructor -Enjoyable,2. Please rate the personality of the virtual instructor -Likeable,2. Please rate the personality of the virtual instructor -Polite,2. Please rate the personality of the virtual instructor -Fun,2. Please rate the personality of the virtual instructor -Human-like,2. Please rate the personality of the virtual instructor -Warm,2. Please rate the personality of the virtual instructor -Self-confident,2. Please rate the personality of the virtual instructor -Dominant,2. Please rate the personality of the virtual instructor -Active,2. Please rate the personality of the virtual instructor -Attractiveness,1. Please describe how does the instructor feel?  , , ,2. Please rate the personality of the virtual instructor -Helpful,2. Please rate the personality of the virtual instructor -Useful,2. Please rate the personality of the virtual instructor -Competent,2. Please rate the personality of the virtual instructor -Knowledgeable,2. Please rate the personality of the virtual instructor -Analytical,2. Please rate the personality of the virtual instructor -Informative,2. Please rate the personality of the virtual instructor -Friendly,2. Please rate the personality of the virtual instructor -Enjoyable,2. Please rate the personality of the virtual instructor -Likeable,2. Please rate the personality of the virtual instructor -Polite,2. Please rate the personality of the virtual instructor -Fun,2. Please rate the personality of the virtual instructor -Human-like,2. Please rate the personality of the virtual instructor -Warm,2. Please rate the personality of the virtual instructor -Self-confident,2. Please rate the personality of the virtual instructor -Dominant,2. Please rate the personality of the virtual instructor -Active,2. Please rate the personality of the virtual instructor -Attractiveness,  1. Please describe how does the instructor feel?  , , ,2. Please rate the personality of the virtual instructor -Helpful,2. Please rate the personality of the virtual instructor -Useful,2. Please rate the personality of the virtual instructor -Competent,2. Please rate the personality of the virtual instructor -Knowledgeable,2. Please rate the personality of the virtual instructor -Analytical,2. Please rate the personality of the virtual instructor -Informative,2. Please rate the personality of the virtual instructor -Friendly,2. Please rate the personality of the virtual instructor -Enjoyable,2. Please rate the personality of the virtual instructor -Likeable,2. Please rate the personality of the virtual instructor -Polite,2. Please rate the personality of the virtual instructor -Fun,2. Please rate the personality of the virtual instructor -Human-like,2. Please rate the personality of the virtual instructor -Warm,2. Please rate the personality of the virtual instructor -Self-confident,2. Please rate the personality of the virtual instructor -Dominant,2. Please rate the personality of the virtual instructor -Active,2. Please rate the personality of the virtual instructor -Attractiveness,"Did you have any thoughts on the design of the characters? For example, were their movements and...",What is your age?,Choose one or more races that you consider yourself to be:-White,Choose one or more races that you consider yourself to be:-Black or African American,Choose one or more races that you consider yourself to be:-American Indian or Alaska Native,Choose one or more races that you consider yourself to be:-Asian,Choose one or more races that you consider yourself to be:-Native Hawaiian or Pacific Islander,Choose one or more races that you consider yourself to be:-Other,Choose one or more races that you consider yourself to be:-Other-TEXT,Choose one or more races that you consider yourself to be:-Latino/Latina Hispanic,Choose one or more races that you consider yourself to be:-South Asian,What is your identified gender?,LocationLatitude,LocationLongitude,LocationAccuracy,
R_27vO59HzhJaCOnz,Default Response Set,Anonymous,,,47.199.62.153,0,2017-04-10 16:06:06,2017-04-10 16:07:19,1,481066,1,1,3,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,3,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,no,50,,1,,,,,,,,2,28.215805053711,-82.659599304199,-1,
R_2tmLrc1oWQ6vS53,Default Response Set,Anonymous,,,173.80.100.166,0,2017-04-10 16:05:49,2017-04-10 16:08:31,1,418521,1,1,,,,,,,,,,,,,,,,,,,,,4,7,5,1,1,1,1,1,1,1,1,1,1,1,3,1,3,5,3,1,4,6,5,1,1,1,1,2,1,1,1,1,1,1,2,1,2,4,2,1,"I far preferred how active the second one was, the little hand movements made it feel more nautural.",34,1,,,,,,,,,1,38.24169921875,-81.583198547363,-1,
R_2v7EtDG6mhCMLlZ,Default Response Set,Anonymous,,,73.242.94.127,0,2017-04-10 16:09:04,2017-04-10 16:10:53,1,518417,1,1,,,,,,,,,,,,,,,,,,,,,1,8,2,1,1,1,1,3,1,1,1,1,1,1,1,1,5,5,4,4,2,8,2,1,1,2,2,4,1,1,1,1,1,2,1,1,5,5,4,2,The hands were unrealistic,30,1,,,,,,,,,2,44.874496459961,-93.375198364258,-1,
R_1pQ0lOwRiJC9kbv,Default Response Set,Anonymous,,,212.251.93.108,0,2017-04-10 16:08:01,2017-04-10 16:11:09,1,444353,1,1,1,4,7,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,2,1,1,4,6,1,1,1,2,1,1,1,1,1,1,1,2,1,2,3,2,1,,,,,,,,,,,,,,,,,,,,,Yes they were very natura,31,1,,,,,,,,,2,37.983306884766,23.733306884766,-1,
R_2dRV7ZCHWhCVgQV,Default Response Set,Anonymous,,,68.232.251.206,0,2017-04-10 16:10:13,2017-04-10 16:12:33,1,940025,1,1,2,7,1,2,2,4,4,4,2,1,1,1,1,1,3,1,4,5,3,1,1,7,1,2,3,4,4,5,3,1,1,1,1,1,3,1,5,5,3,1,,,,,,,,,,,,,,,,,,,,,no,42,1,,,,,,,,,1,44.130798339844,-94,-1,
R_2D61UumznZS1yRX,Default Response Set,Anonymous,,,99.46.169.184,0,2017-04-10 16:11:05,2017-04-10 16:12:57,1,986368,1,1,,,,,,,,,,,,,,,,,,,,,2,8,2,3,2,3,4,2,2,2,3,4,1,3,2,4,3,2,2,4,2,8,8,3,3,4,2,2,3,4,3,3,3,3,3,2,2,3,4,2,"They were fairly natural, though the fps on the movement was a bit low",21,1,,,,,,,,,2,29.739501953125,-95.387901306152,-1,
R_1ir2iKPn2tNZh5j,Default Response Set,Anonymous,,,208.53.108.17,0,2017-04-10 16:12:34,2017-04-10 16:14:16,1,577286,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,4,1,1,,,,,,,,,,,,,,,,,,,,,They weren't very natural.,23,1,,,,,,,,,1,47.735595703125,-121.93440246582,-1,
R_3CN8WYi1uzB8gRC,Default Response Set,Anonymous,,,68.180.75.27,0,2017-04-10 16:10:35,2017-04-10 16:14:25,1,423983,1,1,4,8,5,2,2,3,1,2,2,1,1,2,1,1,3,1,2,5,5,1,,,,,,,,,,,,,,,,,,,,,3,6,6,1,1,1,1,2,1,3,1,1,2,1,2,1,1,2,4,2,The video with the white character was very unnatural. Mostly the arm gestures.,20,1,,,,,,,,,2,36.071395874023,-79.76789855957,-1,
R_BEfgFHvlfvxKOLD,Default Response Set,Anonymous,,,12.220.20.162,0,2017-04-10 16:13:06,2017-04-10 16:15:03,1,607098,1,1,3,8,6,1,1,1,1,1,1,1,1,1,1,1,3,1,2,4,1,2,,,,,,,,,,,,,,,,,,,,,3,7,6,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,3,,28,1,,,,,,,,,1,33.818801879883,-118.03770446777,-1,
